color,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
'Color', '178', '0', '855', '1000', 'Action|Adventure|Fantasy|Sci-Fi', '4834', '0', 'avatar|future|marine|native|paraplegic', 'English', 'USA', 'PG-13', '237000000', '2009', '936', '1.78', '33000'
'Color', '169', '563', '1000', '40000', 'Action|Adventure|Fantasy', '48350', '0', 'goddess|marriage ceremony|marriage proposal|pirate|singapore', 'English', 'USA', 'PG-13', '300000000', '2007', '5000', '2.35', '0'
'Color', '148', '0', '161', '11000', 'Action|Adventure|Thriller', '11700', '1', 'bomb|espionage|sequel|spy|terrorist', 'English', 'UK', 'PG-13', '245000000', '2015', '393', '2.35', '85000'
'Color', '164', '22000', '23000', '27000', 'Action|Thriller', '106759', '0', 'deception|imprisonment|lawlessness|police officer|terrorist plot', 'English', 'USA', 'PG-13', '250000000', '2012', '23000', '2.35', '164000'
'Color', '132', '475', '530', '640', 'Action|Adventure|Sci-Fi', '1873', '1', 'alien|american civil war|male nipple|mars|princess', 'English', 'USA', 'PG-13', '263700000', '2012', '632', '2.35', '24000'
'Color', '156', '0', '4000', '24000', 'Action|Adventure|Romance', '46055', '0', 'sandman|spider man|symbiote|venom|villain', 'English', 'USA', 'PG-13', '258000000', '2007', '11000', '2.35', '0'
'Color', '100', '15', '284', '799', 'Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance', '2036', '1', '17th century|based on fairy tale|disney|flower|tower', 'English', 'USA', 'PG', '260000000', '2010', '553', '1.85', '29000'
'Color', '141', '0', '19000', '26000', 'Action|Adventure|Sci-Fi', '92000', '4', 'artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero', 'English', 'USA', 'PG-13', '250000000', '2015', '21000', '2.35', '118000'
'Color', '153', '282', '10000', '25000', 'Adventure|Family|Fantasy|Mystery', '58753', '3', 'blood|book|love|potion|professor', 'English', 'UK', 'PG', '250000000', '2009', '11000', '2.35', '10000'
'Color', '183', '0', '2000', '15000', 'Action|Adventure|Sci-Fi', '24450', '0', 'based on comic book|batman|sequel to a reboot|superhero|superman', 'English', 'USA', 'PG-13', '250000000', '2016', '4000', '2.35', '197000'
'Color', '169', '0', '903', '18000', 'Action|Adventure|Sci-Fi', '29991', '0', 'crystal|epic|lex luthor|lois lane|return to earth', 'English', 'USA', 'PG-13', '209000000', '2006', '10000', '2.35', '0'
'Color', '106', '395', '393', '451', 'Action|Adventure', '2023', '1', 'action hero|attempted rape|bond girl|official james bond series|revenge', 'English', 'UK', 'PG-13', '200000000', '2008', '412', '2.35', '0'
'Color', '151', '563', '1000', '40000', 'Action|Adventure|Fantasy', '48486', '2'," ""box office hit|giant squid|heart|liar's dice|monster""", 'English', 'USA', 'PG-13', '225000000', '2006', '5000', '2.35', '5000'
'Color', '150', '563', '1000', '40000', 'Action|Adventure|Western', '45757', '1', 'horse|outlaw|texas|texas ranger|train', 'English', 'USA', 'PG-13', '215000000', '2013', '2000', '2.35', '48000'
'Color', '143', '0', '748', '15000', 'Action|Adventure|Fantasy|Sci-Fi', '20495', '0', 'based on comic book|british actor playing american character|final battle|origin of hero|reboot', 'English', 'USA', 'PG-13', '225000000', '2013', '3000', '2.35', '118000'
'Color', '150', '80', '201', '22000', 'Action|Adventure|Family|Fantasy', '22697', '4', 'brother brother relationship|brother sister relationship|good versus evil|king|narnia', 'English', 'USA', 'PG', '225000000', '2008', '216', '2.35', '0'
'Color', '173', '0', '19000', '26000', 'Action|Adventure|Sci-Fi', '87697', '3', 'alien invasion|assassin|battle|iron man|soldier', 'English', 'USA', 'PG-13', '220000000', '2012', '21000', '1.85', '123000'
'Color', '136', '252', '1000', '40000', 'Action|Adventure|Fantasy', '54083', '4', 'blackbeard|captain|pirate|revenge|soldier', 'English', 'USA', 'PG-13', '250000000', '2011', '11000', '2.35', '58000'
'Color', '106', '188', '718', '10000', 'Action|Adventure|Comedy|Family|Fantasy|Sci-Fi', '12572', '1', 'alien|criminal|m.i.b.|maximum security prison|prison', 'English', 'USA', 'PG-13', '225000000', '2012', '816', '1.85', '40000'
'Color', '164', '0', '773', '5000', 'Adventure|Fantasy', '9152', '0', 'army|elf|hobbit|middle earth|orc', 'English', 'New Zealand', 'PG-13', '250000000', '2014', '972', '2.35', '65000'
